change_month,nonbundle_addons,account_code
3/1/22,fubo-extra-lite-preview,7
3/1/22,intl-sports-plus,16653
3/1/22,latino,2260
3/1/22,mundo,114
3/1/22,nbalp,3530
3/1/22,news-plus,30765
3/1/22,portuguese,1178
3/1/22,premiere,798
3/1/22,raiitalia,1462
3/1/22,showtime,3929
3/1/22,sports-lite,3980
3/1/22,starz,2327
3/1/22,starz-epix-showtime,7784
3/1/22,third-screen,3341
3/1/22,tv5-monde,782
3/1/22,unlimited-screen-home,16959
4/1/22,advanced-dvr,5062
4/1/22,advanced-dvr-1000,9049
4/1/22,advanced-dvr-250,34698
4/1/22,adventure,9826
4/1/22,amc-premiere,2801
4/1/22,cycling,12
4/1/22,deportes,74591
4/1/22,entertainment,1032
4/1/22,entertainment-preview,5
4/1/22,entertainment-v2,517
4/1/22,epix,899
4/1/22,extra,455
4/1/22,fubo-extra-lite,30819
4/1/22,fubo-extra-lite-preview,5
4/1/22,intl-sports-plus,16164
4/1/22,latino,2303
4/1/22,mundo,110
4/1/22,nbalp,3740
4/1/22,news-plus,47496
4/1/22,pantaya,66
4/1/22,portuguese,1183
4/1/22,premiere,825
4/1/22,raiitalia,1422
4/1/22,showtime,3793
4/1/22,sports-lite,4170
4/1/22,starz,2316
4/1/22,starz-epix-showtime,7670
4/1/22,third-screen,3311
4/1/22,tv5-monde,782
4/1/22,unlimited-screen-home,16687
5/1/22,4k-screen,294
5/1/22,advanced-dvr,5081
5/1/22,advanced-dvr-1000,33361
5/1/22,advanced-dvr-250,33298
5/1/22,adventure,10005
5/1/22,amc-premiere,2777
5/1/22,cycling,11
5/1/22,deportes,68152
5/1/22,entertainment,962
5/1/22,entertainment-preview,4
5/1/22,entertainment-v2,529
5/1/22,epix,866
5/1/22,extra,467
5/1/22,fubo-extra-lite,31439
5/1/22,fubo-extra-lite-preview,6
5/1/22,intl-sports-plus,14945
5/1/22,latino,2358
5/1/22,mundo,108
5/1/22,nbalp,3735
5/1/22,news-plus,45756
5/1/22,pantaya,295
5/1/22,portuguese,1266
5/1/22,premiere,799
5/1/22,raiitalia,1501
5/1/22,showtime,4495
5/1/22,sports-lite,4250
5/1/22,starz,2231
5/1/22,starz-epix-showtime,7517
5/1/22,third-screen,3183
5/1/22,tv5-monde,807
5/1/22,unlimited-screen-home,39942
6/1/22,4k-screen,194
6/1/22,advanced-dvr,4585
6/1/22,advanced-dvr-1000,2450
6/1/22,advanced-dvr-250,25429
6/1/22,adventure,9449
6/1/22,amc-premiere,2438
6/1/22,cycling,8
6/1/22,deportes,58302
6/1/22,entertainment,890
6/1/22,entertainment-preview,3
6/1/22,entertainment-v2,470
6/1/22,epix,754
6/1/22,extra,442
6/1/22,fubo-extra-lite,28855
6/1/22,fubo-extra-lite-preview,3
6/1/22,intl-sports-plus,13575
6/1/22,latino,2139
6/1/22,mundo,20
6/1/22,nbalp,2439
6/1/22,news-plus,34380
6/1/22,pantaya,271
6/1/22,portuguese,1158
6/1/22,premiere,766
6/1/22,raiitalia,1365
6/1/22,showtime,4133
6/1/22,sports-lite,3227
6/1/22,starz,1910
6/1/22,starz-epix-showtime,6572
6/1/22,third-screen,2226
6/1/22,tv5-monde,707
6/1/22,unlimited-screen-home,3103
