change_month,new_addition,account_code
2021-12-01,mundo,308
2021-12-01,music,1
2021-12-01,nbalp,2159
2021-12-01,portuguese,1431
2021-12-01,portuguese_plus,102
2021-12-01,premiere,858
2021-12-01,raiitalia,1790
2021-12-01,rsn-fee,329102
2021-12-01,showtime,5353
2021-12-01,spanish,245
2021-12-01,sports-lite,3615
2021-12-01,starz,2284
2021-12-01,starz-epix-showtime,8519
2021-12-01,third-screen,26366
2021-12-01,tv5-monde,926
2021-12-01,unlimited-screen-home,19577
2022-01-01,,758952
2022-01-01, ,8492
2022-01-01,advanced-dvr,13712
2022-01-01,advanced-dvr-1000,10374
2022-01-01,advanced-dvr-250,52215
2022-01-01,adventure,10358
2022-01-01,amc-premiere,3330
2022-01-01,cycling,54
2022-01-01,deportes,127094
2022-01-01,english,29
2022-01-01,entertainment,1440
2022-01-01,entertainment-preview,10
2022-01-01,entertainment-v2,634
2022-01-01,epix,1049
2022-01-01,extra,559
2022-01-01,fubo-extra-lite,33551
2022-01-01,fubo-extra-lite-preview,11
2022-01-01,intl-sports-plus,16453
2022-01-01,latino,2466
2022-01-01,lifestyle,92
2022-01-01,mundo,305
2022-01-01,music,1
2022-01-01,nbalp,2921
2022-01-01,news-plus,3555
2022-01-01,portuguese,1446
2022-01-01,portuguese_plus,98
2022-01-01,premiere,877
2022-01-01,raiitalia,1752
2022-01-01,rsn-fee,344804
2022-01-01,showtime,5475
2022-01-01,spanish,240
2022-01-01,sports-lite,3624
2022-01-01,starz,2297
2022-01-01,starz-epix-showtime,8645
2022-01-01,third-screen,26515
2022-01-01,tv5-monde,914
2022-01-01,unlimited-screen-home,20068
2022-02-01,,728119
2022-02-01, ,8486
2022-02-01,advanced-dvr,13178
2022-02-01,advanced-dvr-1000,11388
2022-02-01,advanced-dvr-250,49566
2022-02-01,adventure,10383
2022-02-01,amc-premiere,3285
2022-02-01,cycling,70
2022-02-01,deportes,109939
2022-02-01,english,28
2022-02-01,entertainment,1370
2022-02-01,entertainment-preview,5
2022-02-01,entertainment-v2,640
2022-02-01,epix,1008
2022-02-01,extra,531
2022-02-01,fubo-extra-lite,32585
2022-02-01,fubo-extra-lite-preview,12
2022-02-01,intl-sports-plus,16923
2022-02-01,latino,2565
2022-02-01,lifestyle,91
2022-02-01,mundo,321
2022-02-01,music,1
2022-02-01,nbalp,3473
2022-02-01,news-plus,14670
2022-02-01,portuguese,1533
2022-02-01,portuguese_plus,97
2022-02-01,premiere,858
2022-02-01,raiitalia,1799
2022-02-01,rsn-fee,333634
2022-02-01,showtime,5188
2022-02-01,spanish,233
2022-02-01,sports-lite,3516
2022-02-01,starz,2323
2022-02-01,starz-epix-showtime,8319
2022-02-01,third-screen,21832
2022-02-01,tv5-monde,976
2022-02-01,unlimited-screen-home,20413
2022-03-01,,692877
2022-03-01, ,7814
2022-03-01,advanced-dvr,12638
2022-03-01,advanced-dvr-1000,11524
2022-03-01,advanced-dvr-250,44225
2022-03-01,adventure,10342
2022-03-01,amc-premiere,3246
2022-03-01,cycling,73
